0	39.74	54.6197
1	126.9997	37.5664
2	-1.1667	52.9667
3	84.8328	56.6133
4	-35.0168	-8.1167
5	46.7728	24.6408
6	35.5097	33.8719
7	52.3333	54.8833
8	-49.05	-26.9333
9	15.7332	38.2
10	26.4064	40.1456
11	37.6156	55.7522
12	35.3289	37.0017
13	121.525	25.0392
14	101.65	3.0833
15	-3.6833	40.4
16	73.2	22.3
17	105.85	21.0333
18	72.9667	19.2
19	8.7167	48.55
20	72.6167	23.0333
21	72.8258	18.975
22	106.7667	21.8667
23	45	25
24	54.3675	31.8972
25	84.7833	19.3167
26	23.3167	42.6833
27	14.8667	48.1167
28	105.85	21.0333
29	-70.7	19.45
30	-70.7	19.45
31	-1.5247	12.3702
32	75.3333	19.8833
33	126.8219	37.3236
34	80.2833	13.0833
35	15.5	49.75
36	23.8146	53.6814
37	116.8333	-1.2833
38	2.1833	41.3833
39	100	15
40	50.0597	55.0036
41	37.6156	55.7522
42	0.0166	39.9667
43	69.3883	53.2775
44	20	41
45	55.0986	51.7847
46	77.2	28.6
47	77.2	28.6
48	30.2642	59.8944
49	106	16
50	37.6156	55.7522
51	49.9253	53.1072
52	106	16
53	28.2294	-25.7069
54	53.2333	56.85
55	75.8167	26.9167
56	26.3333	46.9167
57	100.5167	13.75
58	126.9997	37.5664
59	23.3167	42.6833
60	12.8333	42.8333
61	77.4333	28.6667
62	83.3	17.7
63	-43.9333	-19.9167
64	105.85	21.0333
65	126.9997	37.5664
66	19.9167	50.0833
67	77	20
68	73.0994	49.7989
69	60.6	56.85
70	114.5833	-3.3333
71	85.3166	27.7167
72	72.8258	18.975
73	19.5131	42.0675
74	18.9667	50.3
75	105.85	21.0333
76	-47.3333	-21.75
77	49.1333	55.75
78	34.65	31.8167
79	55.9464	53.6331
80	101.7	3.1667
81	127.5	37
82	77.4	23.2667
83	47.8711	56.6369
84	126.9997	37.5664
85	44	56.3333
86	126.9997	37.5664
87	88.3458	22.6682
88	75.8333	22.7167
89	-75.0127	40.5144
90	72.6167	23.0333
91	72.8258	18.975
92	19.8369	45.2517
93	30.5167	50.4333
94	18.3833	43.85
95	57.4719	-20.2644
96	12.6	41.8
97	100.5167	13.75
98	126.9997	37.5664
99	-47.0168	-22.95
100	23.3167	42.6833
101	72.8258	18.975
